City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
52,Lima,PE,2022-08-11 04:41:24,-12.0432,-77.0282,59.9,86,100,10.36,overcast clouds
53,Scottsbluff,US,2022-08-11 04:45:21,41.8666,-103.6672,82.29,38,0,8.01,clear sky
54,Rio Gallegos,AR,2022-08-11 04:41:34,-51.6226,-69.2181,37.45,87,0,10.36,clear sky
55,Sao Joao Da Barra,BR,2022-08-11 04:45:22,-21.6403,-41.0511,70.03,45,88,21.12,light rain
56,Tromso,NO,2022-08-11 04:41:56,69.6496,18.957,53.62,76,75,25.32,light intensity shower rain
57,Tuktoyaktuk,CA,2022-08-11 04:45:23,69.4541,-133.0374,48.2,93,100,21.85,light rain
58,Samarai,PG,2022-08-11 04:45:23,-10.6167,150.6667,78.91,77,91,16.64,overcast clouds
59,Esperance,AU,2022-08-11 04:40:29,-33.8667,121.9,58.15,65,86,15.01,overcast clouds
60,Santa Maria,BR,2022-08-11 04:45:24,-29.6842,-53.8069,46.0,95,50,3.18,scattered clouds
61,Tasiilaq,GL,2022-08-11 04:45:24,65.6145,-37.6368,37.56,76,79,2.68,broken clouds
62,Buriti Dos Lopes,BR,2022-08-11 04:45:24,-3.175,-41.8669,71.55,88,99,4.99,overcast clouds
63,Grand Baie,MU,2022-08-11 04:45:25,-20.0182,57.5802,72.45,53,69,10.0,broken clouds
64,Dandong,CN,2022-08-11 04:40:50,40.1292,124.3947,79.65,65,0,8.1,clear sky
65,Vieux-Habitants,GP,2022-08-11 04:45:25,16.0589,-61.7659,77.72,82,38,12.21,scattered clouds
66,Itarema,BR,2022-08-11 04:45:26,-2.9248,-39.9167,75.88,82,86,13.65,overcast clouds
67,Port Alfred,ZA,2022-08-11 04:37:48,-33.5906,26.891,57.72,84,70,2.55,broken clouds
68,Kapaa,US,2022-08-11 04:39:12,22.0752,-159.319,84.18,79,75,19.57,broken clouds
69,North Bend,US,2022-08-11 04:45:27,43.4065,-124.2243,61.16,94,0,4.61,clear sky
70,Ahipara,NZ,2022-08-11 04:40:27,-35.1667,173.1667,53.89,83,45,7.74,scattered clouds
71,Mozarlandia,BR,2022-08-11 04:45:27,-14.7447,-50.5706,67.96,27,74,10.98,broken clouds
72,Laguna,US,2022-08-11 04:45:28,38.421,-121.4238,77.76,58,0,9.22,clear sky
73,Pisco,PE,2022-08-11 04:45:28,-13.7,-76.2167,58.01,88,40,0.0,scattered clouds
74,Touros,BR,2022-08-11 04:45:29,-5.1989,-35.4608,72.75,91,47,8.95,scattered clouds
75,Patiya,BD,2022-08-11 04:45:29,22.2931,91.9762,85.95,74,75,10.36,broken clouds
76,Itacarambi,BR,2022-08-11 04:45:30,-15.1022,-44.0919,72.14,42,52,7.4,broken clouds
77,Scarborough,GB,2022-08-11 04:45:09,54.2797,-0.4044,65.34,83,6,3.98,clear sky
78,Channel-Port Aux Basques,CA,2022-08-11 04:45:30,47.5702,-59.1367,60.13,87,76,10.31,broken clouds
