City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Mar Del Plata,AR,2022-08-03 00:44:47,-38.0023,-57.5575,55.09,97,100,4.61
59,Saint Pete Beach,US,2022-08-03 00:44:48,27.7253,-82.7412,90.0,64,0,4.61
60,Esperance,AU,2022-08-03 00:43:51,-33.8667,121.9,49.84,61,40,31.32
61,Port Blair,IN,2022-08-03 00:44:48,11.6667,92.75,77.04,88,100,8.05
62,Maine-Soroa,NE,2022-08-03 00:44:49,13.2114,12.0241,73.62,83,74,9.93
63,Markova,UA,2022-08-03 00:42:04,48.6758,24.4138,56.86,86,0,4.38
64,Nikolskoye,RU,2022-08-03 00:44:49,59.7035,30.7861,58.8,91,68,4.85
65,Hofn,IS,2022-08-03 00:44:50,64.2539,-15.2082,48.69,73,49,11.41
66,Margate,GB,2022-08-03 00:40:58,51.3813,1.3862,65.3,91,13,3.0
67,Hermanus,ZA,2022-08-03 00:44:50,-34.4187,19.2345,46.8,84,8,2.51
68,Gwadar,PK,2022-08-03 00:44:51,25.1216,62.3254,80.94,85,64,5.68
69,Arraial Do Cabo,BR,2022-08-03 00:44:51,-22.9661,-42.0278,69.67,87,0,4.99
70,Beringovskiy,RU,2022-08-03 00:44:52,63.05,179.3167,58.55,62,91,4.23
71,Kruisfontein,ZA,2022-08-03 00:44:52,-34.0033,24.7314,57.16,56,4,5.99
72,Belvedere Marittimo,IT,2022-08-03 00:44:53,39.6179,15.8617,66.11,53,0,5.61
73,Banff,CA,2022-08-03 00:44:53,51.1762,-115.5698,78.03,25,36,9.22
74,Yellowknife,CA,2022-08-03 00:44:53,62.456,-114.3525,70.32,26,20,6.91
75,Shenjiamen,CN,2022-08-03 00:44:54,29.9576,122.298,84.72,80,6,15.61
76,Bereda,ES,2022-08-03 00:44:54,43.2686,-7.5406,69.42,100,100,5.44
77,Mkushi,ZM,2022-08-03 00:44:55,-13.6202,29.3939,53.55,89,4,6.08
78,Jacmel,HT,2022-08-03 00:44:55,18.2342,-72.5347,75.04,77,28,4.27
79,Harper,LR,2022-08-03 00:44:56,4.375,-7.7169,75.15,75,100,6.96
80,Sassandra,CI,2022-08-03 00:44:56,4.95,-6.0833,73.69,80,100,5.68
81,Quatre Cocos,MU,2022-08-03 00:44:56,-20.2078,57.7625,68.11,71,25,9.26
82,Broken Hill,AU,2022-08-03 00:44:57,-31.95,141.4333,68.88,40,0,26.26
83,Plettenberg Bay,ZA,2022-08-03 00:44:58,-34.0527,23.3716,59.45,60,12,4.05
84,Dong Hoi,VN,2022-08-03 00:44:58,17.4833,106.6,85.98,63,75,2.71
85,Tura,IN,2022-08-03 00:44:59,25.5198,90.2201,74.95,95,100,2.86
86,Provideniya,RU,2022-08-03 00:44:59,64.3833,-173.3,60.91,55,0,15.99
87,Saint-Philippe,RE,2022-08-03 00:45:00,-21.3585,55.7679,65.79,81,50,9.31
88,Sinnamary,GF,2022-08-03 00:45:00,5.3833,-52.95,78.35,87,100,9.24
89,Kosonsoy,UZ,2022-08-03 00:45:00,41.2561,71.5508,63.16,60,61,5.64
90,Lodwar,KE,2022-08-03 00:45:01,3.1191,35.5973,75.87,59,49,2.19
91,New Norfolk,AU,2022-08-03 00:45:01,-42.7826,147.0587,58.91,73,83,4.0
92,Mahebourg,MU,2022-08-03 00:46:02,-20.4081,57.7,68.29,83,40,3.44
93,Nanortalik,GL,2022-08-03 00:46:02,60.1432,-45.2371,45.32,81,13,8.37
94,Altamont,US,2022-08-03 00:46:03,42.2068,-121.7372,84.78,46,0,11.5
95,Qaanaaq,GL,2022-08-03 00:46:03,77.484,-69.3632,45.16,61,19,2.17
96,Pevek,RU,2022-08-03 00:46:04,69.7008,170.3133,39.56,100,100,3.69
97,Olafsvik,IS,2022-08-03 00:46:04,64.8945,-23.7142,47.66,68,69,9.35
98,Mahina,PF,2022-08-03 00:46:04,-17.5065,-149.489,82.17,54,20,8.05
99,Pochutla,MX,2022-08-03 00:46:05,15.7432,-96.4661,82.81,84,17,4.68
100,Ouahigouya,BF,2022-08-03 00:46:05,13.5828,-2.4216,80.33,68,100,7.56
101,Vanimo,PG,2022-08-03 00:46:06,-2.6741,141.3028,84.79,70,100,10.11
102,Ugoofaaru,MV,2022-08-03 00:46:06,5.6667,73.0,81.3,78,100,19.82
103,Pareora,NZ,2022-08-03 00:46:07,-44.4871,171.2132,62.19,21,4,9.33
104,Ozernovskiy,RU,2022-08-03 00:46:07,51.5,156.5167,54.84,86,72,6.6
